City,Country,Venue,Opening act(s),Revenue,Tour,Attendance,Tour_Year,Revenue_per_Attendee
Evansville,United States,Roberts Municipal Stadium,"Gloriana
Kellie Pickler",360617.0,Fearless_Tour,7463.0,2009,48.32064853276162
Jonesboro,United States,Convocation Center,"Gloriana
Kellie Pickler",340328.0,Fearless_Tour,7822.0,2009,43.50907696241371
St. Louis,United States,Scottrade Center,"Gloriana
Kellie Pickler",650420.0,Fearless_Tour,13764.0,2009,47.25515838419064
Alexandria,United States,Bishop Ireton High School,"Gloriana
Kellie Pickler",2054690.0,Fearless_Tour,26705.0,2009,76.94027335704924
North Charleston,United States,North Charleston Coliseum,"Gloriana
Kellie Pickler",398154.0,Fearless_Tour,8751.0,2009,45.498114501199865
Jacksonville,United States,Jacksonville Veterans Memorial Arena,"Gloriana
Kellie Pickler",507012.0,Fearless_Tour,11072.0,2009,45.79226878612717
Biloxi,United States,Mississippi Coast Coliseum,"Gloriana
Kellie Pickler",437313.0,Fearless_Tour,9436.0,2009,46.34516744383213
London,England,Shepherd's Bush Empire,No Opening Act,401328.0,Fearless_Tour,6789.0,2009,59.114449845338044
London,England,Shepherd's Bush Empire,No Opening Act,401328.0,Fearless_Tour,6789.0,2009,59.114449845338044
Spokane,United States,Spokane Arena,"Gloriana
Kellie Pickler",482146.0,Fearless_Tour,10798.0,2009,44.651416929060936
Seattle,United States,KeyArena,"Gloriana
Kellie Pickler",528637.0,Fearless_Tour,12061.0,2009,43.830279412984
Portland,United States,Rose Garden Arena,"Gloriana
Kellie Pickler",613284.0,Fearless_Tour,13226.0,2009,46.36957507938908
Nampa,United States,Ford Arena,"Gloriana
Kellie Pickler",413622.0,Fearless_Tour,8970.0,2009,46.11170568561873
Glendale,United States,Jobing.com Arena,"Gloriana
Kellie Pickler",647923.0,Fearless_Tour,13052.0,2009,49.64166411277965
Los Angeles,United States,Staples Center,"Gloriana
Kellie Pickler",720940.0,Fearless_Tour,13648.0,2009,52.823856975381005
Paradise,United States,Mandalay Bay Events Center,"Gloriana
Kellie Pickler",551051.0,Fearless_Tour,8311.0,2009,66.30381422211526
San Diego,United States,Valley View Casino Center,"Gloriana
Kellie Pickler",502689.0,Fearless_Tour,10174.0,2009,49.40918026341655
